,id,num,k,log,+,-,*,/,^,(,),=,;,",",?,#,L,E,T,F,G,R
0,103,,,,,,,,,,,,,,102,203,1,,,,,
1,,,,,,,,,,,,,,,,-1,,,,,,
2,112,113,111,110,,109,,,,108,,,,,,,,4,5,6,7,
3,,,,,,,,,,,,114,,,,,,,,,,
4,,,,,116,117,,,,,,,115,,,,,,,,,
5,,,,,206,206,118,119,,,206,,206,,,,,,,,,
6,,,,,209,209,209,209,120,,209,,209,,,,,,,,,
7,,,,,211,211,211,211,211,,211,,211,,,,,,,,,
8,112,113,111,110,,109,,,,108,,,,,,,,21,5,6,7,
9,123,124,,,,,,,,,,,,,,,,,,,,22
10,,,,,,,,,,125,,,,,,,,,,,,
11,,,,,,,,,,126,,,,,,,,,,,,
12,,,,,216,216,216,216,216,,216,,216,,,,,,,,,
13,,,,,217,217,217,217,217,,217,,217,,,,,,,,,
14,112,113,111,110,,109,,,,108,,,,,,,,27,5,6,7,
15,103,,,,,,,,,,,,,,102,203,28,,,,,
16,112,113,111,110,,109,,,,108,,,,,,,,,29,6,7,
17,112,113,111,110,,109,,,,108,,,,,,,,,30,6,7,
18,112,113,111,110,,109,,,,108,,,,,,,,,,31,7,
19,112,113,111,110,,109,,,,108,,,,,,,,,,32,7,
20,112,113,111,110,,109,,,,108,,,,,,,,,,,33,
21,,,,,116,117,,,,,134,,,,,,,,,,,
22,,,,,213,213,213,213,213,,213,,213,,,,,,,,,
23,,,,,218,218,218,218,218,,218,,218,218,,,,,,,,
24,,,,,219,219,219,219,219,,219,,219,219,,,,,,,,
25,123,124,,,,,,,,,,,,,,,,,,,,35
26,112,113,111,110,,109,,,,108,,,,,,,,36,5,6,7,
27,,,,,116,117,,,,,,,137,,,,,,,,,
28,,,,,,,,,,,,,,,,201,,,,,,
29,,,,,204,204,118,119,,,204,,204,,,,,,,,,
30,,,,,205,205,118,119,,,205,,205,,,,,,,,,
31,,,,,207,207,207,207,120,,207,,207,,,,,,,,,
32,,,,,208,208,208,208,120,,208,,208,,,,,,,,,
33,,,,,210,210,210,210,210,,210,,210,,,,,,,,,
34,,,,,212,212,212,212,212,,212,,212,,,,,,,,,
35,,,,,,,,,,,,,,138,,,,,,,,
36,,,,,116,117,,,,,139,,,,,,,37,5,6,7,
37,103,,,,,,,,,,,,,,102,203,40,,,,,
38,112,113,111,110,,109,,,,108,,,,,,,,41,5,6,7,
39,,,,,215,215,215,215,215,,215,,215,,,,,,,,,
40,,,,,,,,,,,,,,,,202,,,,,,
41,,,,,,,,,,,142,,,,,,,,,,,
42,,,,,214,214,214,214,214,,214,,214,,,,,,,,,
